,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
73,인셉션,크리스토퍼 놀란,(주)디스테이션,2010-07-21,장편,미국,528,44106546302,5926948,드라마,12세관람가,일반영화,2010,7,여름
74,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,장편,미국,696,43044999000,5911890,드라마,12세관람가,일반영화,2012,12,겨울
75,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,장편,미국,2691,62648728870,5884587,액션,12세관람가,일반영화,2022,5,봄
76,캡틴 마블,라이언 플렉,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,장편,미국,2100,51491272223,5801069,액션,12세관람가,일반영화,2019,3,봄
77,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,장편,미국,1972,49770711037,5661128,액션,12세관람가,일반영화,2018,6,여름
78,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,장편,한국,1102,44241099316,5636259,액션,15세관람가,일반영화,2017,8,여름
79,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,2013,8,여름
80,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,장편,한국,964,44344141109,5593551,사극,12세관람가,일반영화,2016,8,여름
81,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,장편,한국,743,39866712881,5583596,범죄,15세관람가,일반영화,2013,7,여름
82,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,장편,미국,1290,47800698826,5546792,액션,12세관람가,일반영화,2015,6,여름
83,의형제,장훈,(주)쇼박스,2010-02-04,장편,한국,572,40800867602,5507106,드라마,15세관람가,일반영화,2010,2,겨울
84,감시자들,김병서,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,장편,한국,949,39298005179,5496547,범죄,15세관람가,일반영화,2013,7,여름
85,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,장편,미국,789,39415166660,5462953,SF,12세관람가,일반영화,2009,11,가을
86,앤트맨과 와스프,페이튼 리드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,장편,미국,1775,47465443185,5447826,액션,12세관람가,일반영화,2018,7,여름
87,닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),2016-10-26,장편,미국,1503,47482530396,5446379,액션,12세관람가,일반영화,2016,10,가을
88,검은 사제들,장재현,(주)씨제이이엔엠,2015-11-05,장편,한국,1088,42395347092,5440945,미스터리,15세관람가,일반영화,2015,11,가을
89,안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,장편,한국,1540,46335334026,5440186,사극,12세관람가,일반영화,2018,9,가을
90,블랙 팬서,라이언 쿠글러,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,장편,미국,1620,45883143457,5398994,액션,12세관람가,일반영화,2018,2,겨울
91,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,장편,한국,1310,43486078535,5316325,범죄,15세관람가,일반영화,2017,1,겨울
92,완득이,이한,(주)씨제이이엔엠,2011-10-20,장편,한국,500,38530503500,5310510,드라마,12세관람가,일반영화,2011,10,가을
93,트랜스포머: 사라진 시대,마이클 베이,(주)씨제이이엔엠,2014-06-25,장편,미국,1602,44012272845,5295801,액션,12세관람가,일반영화,2014,6,여름
94,완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,장편,한국,1313,44356752474,5294119,드라마,15세관람가,일반영화,2018,10,가을
95,조커,토드 필립스,워너브러더스 코리아(주),2019-10-02,장편,미국,1418,45442252130,5255228,액션,15세관람가,일반영화,2019,10,가을
96,월드 워 Z,마크 포스터,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,장편,미국,964,38555357000,5237525,드라마,15세관람가,일반영화,2013,6,여름
97,타워,김지훈,(주)씨제이이엔엠,2012-12-25,장편,한국,617,37654858000,5181014,드라마,12세관람가,일반영화,2012,12,겨울
98,미녀와 야수,빌 콘돈,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄
99,추격자,나홍진,(주)쇼박스,2008-02-14,장편,한국,435,33943278500,5071619,범죄,청소년관람불가,일반영화,2008,2,겨울
100,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,장편,한국,1357,43484892913,5063620,범죄,15세관람가,일반영화,2018,5,봄
101,쿵푸팬더 2,여인영,(주)씨제이이엔엠,2011-05-26,장편,미국,948,44298724500,5062722,애니메이션,전체관람가,일반영화,2011,5,봄
102,아쿠아맨,제임스 완,워너브러더스 코리아(주),2018-12-19,장편,미국,1285,44113456704,5038134,액션,12세관람가,일반영화,2018,12,겨울
103,공작,윤종빈,(주)씨제이이엔엠,2018-08-08,장편,한국,1317,42759410176,4971261,드라마,12세관람가,일반영화,2018,8,여름
104,인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),2015-07-09,장편,미국,777,38015586936,4968687,애니메이션,전체관람가,일반영화,2015,7,여름
105,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아(주),2017-09-27,장편,미국,1687,40987484736,4945484,액션,청소년관람불가,일반영화,2017,9,가을
106,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,장편,한국,694,34524377161,4897551,코미디,12세관람가,일반영화,2012,8,여름
107,마션,리들리 스콧,월트디즈니컴퍼니코리아 유한책임회사,2015-10-08,장편,미국,1132,39612764295,4875494,액션,12세관람가,일반영화,2015,10,가을
108,토르: 라그나로크,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,장편,미국,1640,39248432595,4857152,액션,12세관람가,일반영화,2017,10,가을
109,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,장편,미국,1118,41163951235,4853123,액션,12세관람가,일반영화,2012,6,여름
110,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,장편,한국,206,37354452679,4801355,다큐멘터리,전체관람가,독립/예술영화,2014,11,가을
111,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27,장편,한국,611,35841769500,4786259,코미디,12세관람가,일반영화,2011,1,겨울
112,봉오동 전투,원신연,(주)쇼박스,2019-08-07,장편,한국,1476,40514276538,4779501,사극,15세관람가,일반영화,2019,8,여름
113,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,장편,한국,1394,36987755999,4774895,사극,15세관람가,일반영화,2014,7,여름
114,남산의 부장들,우민호,(주)쇼박스,2020-01-22,장편,한국,1659,41223596650,4750104,드라마,15세관람가,일반영화,2020,1,겨울
115,라이온 킹,존 파브로,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,장편,미국,1936,41518977430,4743184,어드벤처,전체관람가,일반영화,2019,7,여름
116,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,장편,한국,699,36479147500,4710454,범죄,청소년관람불가,일반영화,2012,2,겨울
117,주토피아,리치 무어,월트디즈니컴퍼니코리아(주),2016-02-17,장편,미국,661,37077444042,4703245,애니메이션,전체관람가,일반영화,2016,2,겨울
118,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04,장편,미국,801,38703942201,4697142,액션,12세관람가,일반영화,2014,6,여름
119,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,장편,한국,671,34881330905,4682492,범죄,청소년관람불가,일반영화,2013,2,겨울
120,쿵푸 팬더,마크 오스본,CJ ENM,2008-06-05,장편,미국,351,30000965000,4673009,애니메이션,전체관람가,일반영화,2008,6,여름
121,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아(주),2016-11-16,장편,미국,1431,39337263058,4666993,어드벤처,12세관람가,일반영화,2016,11,가을
122,도가니,황동혁,(주)씨제이이엔엠,2011-09-22,장편,한국,644,35566854800,4662822,드라마,청소년관람불가,일반영화,2011,9,가을
123,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,장편,한국,563,34222160500,4598583,코미디,15세관람가,일반영화,2012,5,봄
124,나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠,2019-09-11,장편,한국,1511,39560195124,4573902,범죄,15세관람가,일반영화,2019,9,가을
125,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,장편,한국,1166,35965733064,4571142,드라마,12세관람가,일반영화,2016,12,겨울
126,터미네이터 : 미래전쟁의 시작,맥지,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21,장편,미국,704,30146162133,4568891,SF,15세관람가,일반영화,2009,5,봄
127,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아(유),2008-09-03,장편,미국,457,29570784560,4554785,멜로/로맨스,12세관람가,일반영화,2008,9,가을
128,연가시,박정우,(주)씨제이이엔엠,2012-07-05,장편,한국,759,32154766664,4513026,공포(호러),15세관람가,일반영화,2012,7,여름
129,아이언맨 2,존 파브로,CJ ENM,2010-04-29,장편,미국,757,33161943100,4498335,SF,12세관람가,일반영화,2010,4,봄
130,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,장편,한국,1426,35477912466,4451336,액션,15세관람가,일반영화,2017,12,겨울
131,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아(주),2011-07-13,장편,미국,757,34507819000,4400298,판타지,전체관람가,일반영화,2011,7,여름
132,다만 악에서 구하소서,홍원찬,(주)씨제이이엔엠,2020-08-05,장편,한국,1998,38554527990,4352669,범죄,15세관람가,일반영화,2020,8,여름
133,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10,장편,한국,1625,44573032153,4350029,액션,15세관람가,일반영화,2022,8,여름
134,아이언맨,존 파브로,CJ ENM,2008-04-30,장편,미국,592,27802744668,4316003,SF,12세관람가,일반영화,2008,4,봄
135,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014-05-22,장편,미국,1056,34654558766,4313871,액션,12세관람가,일반영화,2014,5,봄
136,강철중: 공공의 적 1-1,강우석,CJ ENM,2008-06-19,장편,한국,659,28465757767,4300670,드라마,15세관람가,일반영화,2008,6,여름
137,아가씨,박찬욱,(주)씨제이이엔엠,2016-06-01,장편,한국,1171,35114332791,4277071,스릴러,청소년관람불가,일반영화,2016,6,여름
138,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,장편,미국,1312,34869056800,4168350,액션,12세관람가,일반영화,2014,4,봄
139,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,CJ ENM,2008-05-22,장편,미국,660,26693951667,4136101,액션,12세관람가,일반영화,2008,5,봄
140,용의자,원신연,(주)쇼박스,2013-12-24,장편,한국,807,30037161000,4131248,액션,15세관람가,일반영화,2013,12,겨울
141,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,장편,한국,593,30219800500,4110645,멜로/로맨스,12세관람가,일반영화,2012,3,봄
142,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아(유),2008-07-30,장편,미국,527,26222207084,4090795,액션,12세관람가,일반영화,2008,7,여름
143,7급 공무원,신태라,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22,장편,한국,475,26701311856,4088799,코미디,12세관람가,일반영화,2009,4,봄
144,다크 나이트,크리스토퍼 놀란,주식회사 해리슨앤컴퍼니,2008-08-06,장편,미국,462,27059471306,4087355,범죄,15세관람가,일반영화,2008,8,여름
145,댄싱퀸,이석훈,(주)씨제이이엔엠,2012-01-18,장편,한국,534,30129259500,4057546,코미디,12세관람가,일반영화,2012,1,겨울
146,우리 생애 최고의 순간,임순례,(주)싸이더스,2008-01-10,장편,한국,418,26151780425,4044582,드라마,전체관람가,일반영화,2008,1,겨울
147,꾼,장창원,(주)쇼박스,2017-11-22,장편,한국,1314,31313568795,4018341,범죄,15세관람가,일반영화,2017,11,가을
148,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10,장편,미국,922,31509793095,4002134,액션,12세관람가,일반영화,2014,7,여름
149,타짜-신의 손,강형철,롯데쇼핑㈜롯데엔터테인먼트,2014-09-03,장편,한국,890,32267244827,4001813,드라마,청소년관람불가,일반영화,2014,9,가을
150,쿵푸팬더3,알레산드로 칼로니,(주)씨제이이엔엠,2016-01-28,장편,미국,1365,31340798156,3984812,애니메이션,전체관람가,일반영화,2016,1,겨울
151,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2014-03-26,장편,미국,1106,31710585385,3963220,액션,15세관람가,일반영화,2014,3,봄
152,박수건달,조진규,(주)쇼박스,2013-01-09,장편,한국,599,28343986569,3893216,코미디,15세관람가,일반영화,2013,1,겨울
153,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03,장편,미국,1308,34100211207,3888096,액션,15세관람가,일반영화,2018,10,가을
154,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11,장편,한국,811,30456879428,3872015,사극,12세관람가,일반영화,2015,2,겨울
155,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,장편,한국,1054,29893297890,3849433,사극,15세관람가,일반영화,2014,4,봄
156,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),2015-05-14,장편,미국,799,32906364462,3842441,액션,15세관람가,일반영화,2015,5,봄
157,남한산성,황동혁,(주)씨제이이엔엠,2017-10-03,장편,한국,1229,31067321992,3829891,사극,15세관람가,일반영화,2017,10,가을
158,반도,연상호,(주)넥스트엔터테인먼트월드(NEW),2020-07-15,장편,한국,2575,33071341280,3812080,액션,15세관람가,일반영화,2020,7,여름
159,데드풀 2,데이빗 레이치,이십세기폭스코리아(주),2018-05-16,장편,미국,1576,34185664639,3784602,액션,청소년관람불가,일반영화,2018,5,봄
160,쌍화점,유하,(주)쇼박스,2008-12-30,장편,한국,499,25616489949,3779553,드라마,청소년관람불가,일반영화,2008,12,겨울
161,암수살인,김태균,(주)쇼박스,2018-10-03,장편,한국,1177,32855895548,3772620,범죄,15세관람가,일반영화,2018,10,가을
162,국가부도의 날,최국희,(주)씨제이이엔엠,2018-11-28,장편,한국,1180,30891765837,3754983,드라마,12세관람가,일반영화,2018,11,가을
163,신기전,김유진,CJ ENM,2008-09-04,장편,한국,585,24314570667,3726134,사극,15세관람가,일반영화,2008,9,가을
164,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,장편,미국,1257,30504689978,3689325,액션,15세관람가,일반영화,2017,6,여름
165,82년생 김지영,김도영,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23,장편,한국,1486,30305744310,3679019,드라마,12세관람가,일반영화,2019,10,가을
166,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아(유),2019-08-14,장편,미국,1311,32241767793,3657536,액션,12세관람가,일반영화,2019,8,여름
167,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,장편,미국,1469,29981156348,3653238,액션,15세관람가,일반영화,2017,4,봄
168,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04,장편,일본,947,29248867156,3637122,애니메이션,12세관람가,일반영화,2017,1,겨울
169,모가디슈,류승완,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-28,장편,한국,1688,34558297730,3613984,액션,15세관람가,일반영화,2021,7,여름
170,인턴,낸시 마이어스,워너브러더스 코리아(주),2015-09-24,장편,미국,496,28518443148,3610642,코미디,12세관람가,일반영화,2015,9,가을
171,라라랜드,데이미언 셔젤,판씨네마(주),2016-12-07,장편,미국,727,30006844694,3597193,드라마,12세관람가,일반영화,2016,12,겨울
172,귀향,조정래,(주)와우픽쳐스,2016-02-24,장편,한국,876,27245051990,3586523,드라마,15세관람가,일반영화,2016,2,겨울
173,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,장편,미국,603,26566677000,3579666,액션,12세관람가,일반영화,2011,10,가을
174,신의 한 수,조범구,(주)쇼박스,2014-07-03,장편,한국,794,28777712256,3562123,범죄,청소년관람불가,일반영화,2014,7,여름
175,코코,리 언크리치,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,장편,미국,1177,27685479440,3510017,애니메이션,전체관람가,일반영화,2018,1,겨울
176,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,장편,한국,453,25878110500,3450941,드라마,15세관람가,일반영화,2012,1,겨울
177,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,장편,한국,645,27006007900,3450143,액션,15세관람가,일반영화,2014,5,봄
178,비긴 어게인,존 카니,판씨네마(주),2014-08-13,장편,미국,213,27096673061,3427464,멜로/로맨스,15세관람가,독립/예술영화,2014,8,여름
179,스파이,이승준,(주)씨제이이엔엠,2013-09-05,장편,한국,785,24436429305,3423920,액션,15세관람가,일반영화,2013,9,가을
180,그것만이 내 세상,최성현,(주)씨제이이엔엠,2018-01-17,장편,한국,862,27441213382,3417629,코미디,12세관람가,일반영화,2018,1,겨울
181,이끼,강우석,CJ ENM,2010-07-14,장편,한국,736,25856306126,3408144,드라마,청소년관람불가,일반영화,2010,7,여름
182,토이 스토리 4,조시 쿨리,월트디즈니컴퍼니코리아 유한책임회사,2019-06-20,장편,미국,1336,28757726040,3399913,애니메이션,전체관람가,일반영화,2019,6,여름
183,돈,박누리,(주)쇼박스,2019-03-20,장편,한국,1431,28869614062,3389035,범죄,15세관람가,일반영화,2019,3,봄
184,포화속으로,이재한,롯데쇼핑㈜롯데엔터테인먼트,2010-06-16,장편,한국,736,24217600897,3385706,드라마,12세관람가,일반영화,2010,6,여름
185,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,장편,미국,770,27301520070,3379762,액션,12세관람가,일반영화,2012,5,봄
186,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아(유),2013-12-05,장편,영국,568,24867023000,3375735,멜로/로맨스,15세관람가,일반영화,2013,12,겨울
187,악인전,이원태,(주)에이스메이커무비웍스,2019-05-15,장편,한국,1307,29128292150,3364079,범죄,청소년관람불가,일반영화,2019,5,봄
188,올빼미,안태진,(주)넥스트엔터테인먼트월드(NEW),2022-11-23,장편,한국,1541,32842775637,3326824,스릴러,15세관람가,일반영화,2022,11,가을
189,슈퍼배드 3,카일 발다,유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,장편,미국,1057,24216987019,3324861,애니메이션,전체관람가,일반영화,2017,7,여름
190,데드풀,팀 밀러,월트디즈니컴퍼니코리아 유한책임회사,2016-02-17,장편,미국,1036,27595618651,3317196,액션,청소년관람불가,일반영화,2016,2,겨울
191,시동,최정열,(주)넥스트엔터테인먼트월드(NEW),2019-12-18,장편,한국,1515,28098934360,3317038,드라마,15세관람가,일반영화,2019,12,겨울
192,아이 캔 스피크,김현석,롯데쇼핑㈜롯데엔터테인먼트,2017-09-21,장편,한국,1140,25532214986,3280243,코미디,12세관람가,일반영화,2017,9,가을
193,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니컴퍼니코리아(주),2015-12-17,장편,미국,940,28353796331,3273879,액션,12세관람가,일반영화,2015,12,겨울
194,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,장편,미국,983,26449334694,3247558,액션,15세관람가,일반영화,2015,4,봄
195,터미네이터 제니시스,앨런 테일러,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,장편,미국,1113,26546725129,3239371,액션,15세관람가,일반영화,2015,7,여름
196,그래비티,알폰소 쿠아론,(주)스튜디오디에이치엘,2013-10-17,장편,미국,636,31484135600,3227452,SF,12세관람가,일반영화,2013,10,가을
197,마녀,박훈정,워너브러더스 코리아(주),2018-06-27,장편,한국,1117,27242029463,3189091,미스터리,15세관람가,일반영화,2018,6,여름
198,탐정: 리턴즈,이언희,(주)씨제이이엔엠,2018-06-13,장편,한국,1041,26865721678,3148038,코미디,15세관람가,일반영화,2018,6,여름
199,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-05-19,장편,미국,960,27279967500,3130046,액션,12세관람가,일반영화,2011,5,봄
200,퀵,조범구,(주)씨제이이엔엠,2011-07-20,장편,한국,512,22960890000,3125069,코미디,15세관람가,일반영화,2011,7,여름
201,감기,김성수,아이러브시네마,2013-08-14,장편,한국,806,21784202000,3119023,드라마,15세관람가,일반영화,2013,8,여름
202,나우 유 씨 미 2,존 추,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,장편,미국,1200,25116690113,3100113,범죄,12세관람가,일반영화,2016,7,여름
203,영웅,윤제균,(주)씨제이이엔엠,2022-12-21,장편,한국,1314,30396042954,3077583,드라마,12세관람가,일반영화,2022,12,겨울
204,하모니,강대규,CJ ENM,2010-01-28,장편,한국,405,21992266198,3068544,드라마,12세관람가,일반영화,2010,1,겨울
205,거북이 달린다,이연우,(주)쇼박스,2009-06-11,장편,한국,379,20857347292,3059812,드라마,15세관람가,일반영화,2009,6,여름
206,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,장편,미국,1357,24975495122,3049894,액션,12세관람가,일반영화,2017,5,봄
207,이터널스,클로이 자오,월트디즈니컴퍼니코리아 유한책임회사,2021-11-03,장편,미국,2648,31721584450,3049688,액션,12세관람가,일반영화,2021,11,가을
208,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,장편,한국,926,23558988686,3044134,코미디,15세관람가,일반영화,2015,3,봄
209,토르: 다크 월드,앨런 테일러,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-30,장편,미국,733,22525808500,3039889,액션,12세관람가,일반영화,2013,10,가을
210,방자전,김대우,CJ ENM,2010-06-02,장편,한국,512,22853629794,3035116,사극,청소년관람불가,일반영화,2010,6,여름
211,인크레더블 2,브래드 버드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-18,장편,미국,1605,24554683588,3033052,애니메이션,전체관람가,일반영화,2018,7,여름
212,마더,봉준호,CJ ENM,2009-05-28,장편,한국,648,20195373838,3013523,드라마,청소년관람불가,일반영화,2009,5,봄
213,레드: 더 레전드,딘 패리소트,롯데쇼핑㈜롯데엔터테인먼트,2013-07-18,장편,미국,739,21511358970,3004647,액션,15세관람가,일반영화,2013,7,여름
214,해리 포터와 혼혈 왕자,데이빗 예이츠,워너브러더스 코리아(주),2009-07-15,장편,미국,751,20580402431,3002669,어드벤처,전체관람가,일반영화,2009,7,여름
215,오싹한 연애,황인호,(주)씨제이이엔엠,2011-12-01,장편,한국,469,21965313000,3001530,공포(호러),12세관람가,일반영화,2011,12,겨울
216,드래곤 길들이기 2,딘 데블로이스,(주)씨제이이엔엠,2014-07-23,장편,미국,829,23979935189,3000056,애니메이션,전체관람가,일반영화,2014,7,여름
217,형,권수경,(주)씨제이이엔엠,2016-11-23,장편,한국,993,23129111893,2982022,코미디,12세관람가,일반영화,2016,11,가을
218,친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,장편,한국,968,21804687513,2971475,액션,청소년관람불가,일반영화,2013,11,가을
219,26년,조근현,(주)인벤트스톤,2012-11-29,장편,한국,604,21241327145,2963449,액션,15세관람가,일반영화,2012,11,가을
220,블랙 위도우,케이트 쇼트랜드,월트디즈니컴퍼니코리아 유한책임회사,2021-07-07,장편,미국,2528,29987732620,2961507,액션,12세관람가,일반영화,2021,7,여름
221,서치,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-29,장편,미국,816,25283364845,2949944,드라마,12세관람가,일반영화,2018,8,여름
222,고지전,장훈,(주)쇼박스,2011-07-20,장편,한국,585,21968557600,2945137,드라마,15세관람가,일반영화,2011,7,여름
223,엑스맨: 아포칼립스,브라이언 싱어,이십세기폭스코리아(주),2016-05-25,장편,미국,1262,24467887950,2938818,액션,12세관람가,일반영화,2016,5,봄
224,프리즌,나현,(주)쇼박스,2017-03-23,장편,한국,1047,23790276987,2931897,범죄,청소년관람불가,일반영화,2017,3,봄
225,솔트,필립 노이스,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,장편,미국,556,21719123025,2921331,스릴러,15세관람가,일반영화,2010,7,여름
226,가장 보통의 연애,김한결,(주)넥스트엔터테인먼트월드(NEW),2019-10-02,장편,한국,1073,24822316930,2917213,멜로/로맨스,15세관람가,일반영화,2019,10,가을
227,헬로우 고스트,김영탁,(주)넥스트엔터테인먼트월드(NEW),2010-12-22,장편,한국,472,21154651779,2897477,코미디,12세관람가,일반영화,2010,12,겨울
228,원티드,티무르 베크맘베토브,유니버설픽쳐스인터내셔널 코리아(유),2008-06-26,장편,미국,446,19258777000,2867594,스릴러,청소년관람불가,일반영화,2008,6,여름
229,극비수사,곽경택,(주)쇼박스,2015-06-18,장편,한국,894,22389535897,2860786,드라마,15세관람가,일반영화,2015,6,여름
230,표적,창,(주)씨제이이엔엠,2014-04-30,장편,한국,665,22256359300,2841788,액션,15세관람가,일반영화,2014,4,봄
231,앤트맨,페이튼 리드,월트디즈니컴퍼니코리아(주),2015-09-03,장편,미국,949,23502249937,2839921,액션,12세관람가,일반영화,2015,9,가을
232,쥬라기 월드: 도미니언,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2022-06-01,장편,미국,2218,29226463310,2836786,액션,12세관람가,일반영화,2022,6,여름
233,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),2014-12-17,장편,미국,926,24268487685,2836774,어드벤처,12세관람가,일반영화,2014,12,겨울
234,너의 결혼식,이석근,플러스엠 엔터테인먼트,2018-08-22,장편,한국,962,23670604369,2820029,멜로/로맨스,12세관람가,일반영화,2018,8,여름
235,호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012-12-13,장편,미국,1028,23436820716,2818993,어드벤처,12세관람가,일반영화,2012,12,겨울
236,말모이,엄유나,롯데컬처웍스(주)롯데엔터테인먼트,2019-01-09,장편,한국,1203,23682638520,2812444,드라마,12세관람가,일반영화,2019,1,겨울
237,메이즈 러너,웨스 볼,이십세기폭스코리아(주),2014-09-18,장편,미국,648,21489367677,2812427,액션,12세관람가,일반영화,2014,9,가을
238,해리 포터와 죽음의 성물1,데이빗 예이츠,워너브러더스 코리아(주),2010-12-15,장편,미국,718,19906900266,2809053,미스터리,전체관람가,일반영화,2010,12,겨울
239,마녀(魔女) Part2. The Other One,박훈정,(주)넥스트엔터테인먼트월드(NEW),2022-06-15,장편,한국,1796,28920265670,2806254,액션,15세관람가,일반영화,2022,6,여름
240,빅 히어로,돈 홀,월트디즈니컴퍼니코리아(주),2015-01-21,장편,미국,825,21993119765,2801949,애니메이션,전체관람가,일반영화,2015,1,겨울
241,덩케르크,크리스토퍼 놀란,워너브러더스 코리아(주),2017-07-20,장편,미국,1252,24576771848,2792705,액션,12세관람가,일반영화,2017,7,여름
242,혹성탈출: 진화의 시작,루퍼트 와이어트,이십세기폭스코리아(주),2011-08-17,장편,미국,514,20629757000,2773794,액션,12세관람가,일반영화,2011,8,여름
